date,bdry,sblk,gogl,bdry_ma30
2024-04-18,13.430000305175781,20.239381790161133,,14.349333381652832
2024-04-19,13.609999656677246,19.84303855895996,,14.255333360036214
2024-04-22,13.029999732971191,20.187686920166016,,14.128333346048992
2024-04-23,13.399999618530273,20.627113342285156,,14.040333302815755
2024-04-24,13.15999984741211,20.6529598236084,,13.929666646321614
2024-04-25,13.020000457763672,21.040685653686523,,13.821999994913737
2024-04-26,12.819999694824219,21.290557861328125,,13.714000002543132
2024-04-29,12.600000381469727,21.221630096435547,,13.611000029246012
2024-04-30,12.710000038146973,20.954526901245117,,13.495000012715657
2024-05-01,12.6899995803833,21.15269660949707,,13.401666673024495
2024-05-02,13.460000038146973,21.393951416015625,,13.360999997456869
2024-05-03,13.449999809265137,21.38533592224121,,13.300333309173585
2024-05-06,13.569999694824219,21.540428161621094,,13.26166664759318
2024-05-07,14.600000381469727,22.807003021240234,,13.27933333714803
2024-05-08,13.930000305175781,22.44512176513672,,13.297666676839192
2024-05-09,13.65999984741211,22.50543975830078,,13.307999992370606
2024-05-10,13.739999771118164,22.11771011352539,,13.303999996185302
2024-05-13,13.270000457763672,22.143558502197266,,13.283333333333333
2024-05-14,12.949999809265137,21.945388793945312,,13.291666666666666
2024-05-15,12.619999885559082,21.807527542114258,,13.268333339691162
2024-05-16,12.75,22.2900333404541,,13.26966667175293
2024-05-17,12.729999542236328,22.44512176513672,,13.265666643778482
2024-05-20,12.829999923706055,22.57436752319336,,13.276333300272624
2024-05-21,12.380000114440918,22.643299102783203,,13.262999979654948
2024-05-22,12.140000343322754,22.03154945373535,,13.217666657765706
2024-05-23,12.100000381469727,22.47958755493164,,13.16966667175293
2024-05-24,12.260000228881836,23.255046844482422,,13.122666676839193
2024-05-28,12.0,23.22919464111328,,13.07066666285197
2024-05-29,12.079999923706055,23.220579147338867,,13.026666673024495
2024-05-30,12.15999984741211,23.461830139160156,,12.97166665395101
2024-05-31,11.9399995803833,23.33258628845215,,12.921999963124593
2024-06-03,12.119999885559082,23.134416580200195,,12.872333304087322
2024-06-04,12.25,22.850086212158203,,12.846333312988282
2024-06-05,12.0600004196167,23.082719802856445,,12.801666673024496
2024-06-06,12.0600004196167,22.621776580810547,,12.765000025431315
2024-06-07,11.84000015258789,22.674962997436523,,12.725666681925455
2024-06-10,11.460000038146973,22.338119506835938,,12.680333360036213
2024-06-11,11.420000076293945,21.86830711364746,,12.641000016530354
2024-06-12,11.9399995803833,22.231748580932617,,12.6153333346049
2024-06-13,12.119999885559082,22.036731719970703,,12.596333344777426
2024-06-14,11.770000457763672,21.070520401000977,,12.540000025431315
2024-06-17,11.960000038146973,21.105976104736328,,12.490333366394044
2024-06-18,11.869999885559082,21.03506088256836,,12.433666706085205
2024-06-20,11.920000076293945,21.956951141357422,,12.344333362579345
2024-06-21,11.779999732971191,21.3630428314209,,12.272666676839192
2024-06-24,11.4399995803833,21.274396896362305,,12.198666667938232
2024-06-25,11.399999618530273,21.398496627807617,,12.120666662851969
2024-06-26,11.800000190734863,21.74420738220215,,12.07166665395101
2024-06-27,11.920000076293945,21.65556526184082,,12.037333329518637
2024-06-28,12.239999771118164,21.611242294311523,,12.024666659037273
2024-07-01,12.5,22.14310073852539,,12.016333325703938
2024-07-02,11.859999656677246,22.01900291442871,,11.987333329518636
2024-07-03,12.0,22.160831451416016,,11.959666665395101
2024-07-05,11.329999923706055,21.46055030822754,,11.924666659037273
2024-07-08,11.520000457763672,21.23007583618164,,11.903999996185302
2024-07-09,11.65999984741211,21.114837646484375,,11.889333311716715
2024-07-10,11.979999542236328,21.425092697143555,,11.8799999554952
2024-07-11,11.9399995803833,21.371906280517578,,11.877999941507975
2024-07-12,12.079999923706055,21.389631271362305,,11.877999941507975
2024-07-15,11.720000267028809,21.247802734375,,11.863333288828532
2024-07-16,11.600000381469727,21.451683044433594,,11.851999982198079
2024-07-17,11.6899995803833,21.159160614013672,,11.83766663869222
2024-07-18,11.800000190734863,21.150297164916992,,11.822666645050049
2024-07-19,11.760000228881836,21.105976104736328,,11.81266663869222
2024-07-22,11.770000457763672,21.65556526184082,,11.80299997329712
2024-07-23,11.489999771118164,21.141429901123047,,11.791333293914795
2024-07-24,11.640000343322754,20.556386947631836,,11.79733330408732
2024-07-25,11.359999656677246,20.210678100585938,,11.795333290100098
2024-07-26,11.0600004196167,20.290454864501953,,11.76599998474121
2024-07-29,11.229999542236328,20.39682960510254,,11.736333306630453
2024-07-30,10.829999923706055,19.971342086791992,,11.704999955495198
2024-07-31,10.720000267028809,19.980205535888672,,11.66366662979126
2024-08-01,10.890000343322754,19.27105712890625,,11.630999978383382
2024-08-02,10.9399995803833,18.96967124938965,,11.598333295186361
2024-08-05,10.770000457763672,18.349166870117188,,11.564666652679444
2024-08-06,10.979999542236328,18.68601417541504,,11.549333318074543
2024-08-07,10.770000457763672,18.632827758789062,,11.52833334604899
2024-08-08,10.899999618530273,18.606233596801758,,11.498333326975505
2024-08-09,10.710000038146973,18.588502883911133,,11.457999992370606
2024-08-12,10.579999923706055,19.013992309570312,,11.402666664123535
2024-08-13,10.829999923706055,19.138092041015625,,11.346999994913737
2024-08-14,10.899999618530273,18.792383193969727,,11.314999993642171
2024-08-15,10.770000457763672,18.845571517944336,,11.27400000890096
2024-08-16,10.6899995803833,18.748064041137695,,11.252666664123534
2024-08-19,10.449999809265137,18.934215545654297,,11.21699997584025
2024-08-20,10.6899995803833,19.173551559448242,,11.184666633605957
2024-08-21,10.800000190734863,18.951942443847656,,11.145333321889241
2024-08-22,10.592000007629395,18.81011199951172,,11.100400002797445
2024-08-23,10.40999984741211,18.81897735595703,,11.044733333587647
2024-08-26,10.65999984741211,19.129228591918945,,11.00939998626709
2024-08-27,10.6899995803833,19.330781936645508,,10.979066626230876
2024-08-28,10.694999694824219,18.891033172607422,,10.945899963378906
2024-08-29,11.140000343322754,19.54149627685547,,10.92389996846517
2024-08-30,11.109999656677246,19.578144073486328,,10.902233282725016
2024-09-03,10.5,18.8360595703125,,10.859899934132894
2024-09-04,10.619999885559082,18.8268985748291,,10.83089993794759
2024-09-05,10.739999771118164,18.945999145507812,,10.800899918874105
2024-09-06,10.739999771118164,18.20391845703125,,10.780233256022136
2024-09-09,10.569999694824219,18.771930694580078,,10.763899898529052
2024-09-10,10.5600004196167,18.25888442993164,,10.741566594441732
2024-09-11,10.75,18.73528480529785,,10.738899930318196
2024-09-12,10.619999885559082,18.945999145507812,,10.735566584269206
2024-09-13,10.270000457763672,19.055936813354492,,10.714899921417237
2024-09-16,10.369999885559082,19.40407371520996,,10.695899931589762
2024-09-17,10.350000381469727,19.312458038330078,,10.681899929046631
2024-09-18,10.680000305175781,19.275814056396484,,10.671899954477945
2024-09-19,10.569999694824219,20.00873565673828,,10.665233262379964
2024-09-20,10.399999618530273,19.779695510864258,,10.648566595713298
2024-09-23,10.619999885559082,19.843828201293945,,10.645566590627034
2024-09-24,10.739999771118164,20.81494903564453,,10.650899918874105
2024-09-25,10.649999618530273,20.88823699951172,,10.644899908701579
2024-09-26,10.720000267028809,21.69445037841797,,10.638899930318196
2024-09-27,10.449999809265137,21.56618881225586,,10.628233242034913
2024-09-30,10.739999771118164,21.70361328125,,10.629899915059408
2024-10-01,10.1899995803833,21.611997604370117,,10.621233240763347
2024-10-02,10.079999923706055,20.9798526763916,,10.600899918874104
2024-10-03,10.350000381469727,20.97068977355957,,10.585899925231933
2024-10-04,10.260000228881836,20.805784225463867,,10.574833265940349
2024-10-07,10.220000267028809,20.622556686401367,,10.568499946594239
2024-10-08,9.789999961853027,20.10951042175293,,10.539499950408935
2024-10-09,9.329999923706055,19.596467971801758,,10.494166628519695
2024-10-10,9.539999961853027,19.843828201293945,,10.455666637420654
2024-10-11,9.40999984741211,19.284971237182617,,10.397999954223632
2024-10-14,9.039999961853027,18.909353256225586,,10.328999964396159
2024-10-15,8.520000457763672,18.25888442993164,,10.262999979654948
2024-10-16,8.100000381469727,18.21307945251465,,10.178999996185302
2024-10-17,8.420000076293945,18.478763580322266,,10.101666673024495
2024-10-18,8.220000267028809,18.689476013183594,,10.01766668955485
2024-10-21,7.929999828338623,18.432954788208008,,9.92966669400533
