YYYYMM,Country,Fuel,Value,source_url
202010,Albania,PluginHybrid,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202010,Albania,BatteryElectric,18.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202010,Albania,Others,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202011,Albania,Diesel,2917.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202011,Albania,Petrol,573.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202011,Albania,LPG_LPGBlend,417.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202011,Albania,NonPluginHybrid,28.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202011,Albania,PluginHybrid,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202011,Albania,BatteryElectric,12.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202011,Albania,Others,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202012,Albania,Diesel,3679.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202012,Albania,Petrol,691.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202012,Albania,LPG_LPGBlend,546.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202012,Albania,NonPluginHybrid,5.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202012,Albania,PluginHybrid,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202012,Albania,BatteryElectric,18.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202012,Albania,Others,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202101,Albania,Diesel,3087.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202101,Albania,Petrol,564.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202101,Albania,LPG_LPGBlend,453.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202101,Albania,NonPluginHybrid,13.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202101,Albania,PluginHybrid,1.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202101,Albania,BatteryElectric,9.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202101,Albania,Others,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202102,Albania,Diesel,3111.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202102,Albania,Petrol,626.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202102,Albania,LPG_LPGBlend,464.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202102,Albania,NonPluginHybrid,7.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202102,Albania,PluginHybrid,2.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202102,Albania,BatteryElectric,30.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202102,Albania,Others,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202103,Albania,Diesel,3560.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202103,Albania,Petrol,789.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202103,Albania,LPG_LPGBlend,514.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202103,Albania,NonPluginHybrid,14.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
