date,retail_total,retail_food_services,retail_ecommerce,retail_building_materials,retail_general_merch,retail_total_mom,retail_total_yoy,year,month
2018-12-01,489113.0,60181.0,,30713.0,77533.0,-1.9526755323200806,1.1429197702166771,2018,12
2019-01-01,490440.0,60194.0,130188.0,31817.0,51806.0,0.2713074483810418,1.874893542771927,2019,1
2019-02-01,491751.0,60557.0,,30290.0,50473.0,0.26731098605334846,1.594939167119458,2019,2
2019-03-01,499292.0,61096.0,,30625.0,58591.0,1.533499677682415,3.1360641176592097,2019,3
2019-04-01,499343.0,61608.0,135548.0,30643.0,56885.0,0.010214463680568997,3.1372249325627877,2019,4
2019-05-01,504741.0,62227.0,,30423.0,60732.0,1.0810204608856067,2.5979754451581405,2019,5
2019-06-01,505251.0,63135.0,,30417.0,58917.0,0.10104192050972571,3.0644924402522866,2019,6
2019-07-01,509091.0,63787.0,144130.0,30915.0,58720.0,0.7600182879400563,3.2341597349242246,2019,7
2019-08-01,512561.0,64042.0,,31270.0,61830.0,0.6816070211415948,3.8739879824499113,2019,8
2019-09-01,509282.0,64727.0,,30945.0,54587.0,-0.6397287347262082,3.6164286571707116,2019,9
2019-10-01,510648.0,65021.0,150245.0,30876.0,58745.0,0.26822074999706125,2.866950299748594,2019,10
2019-11-01,514215.0,65175.0,,30895.0,65745.0,0.6985242280396653,3.0792576585534137,2019,11
2019-12-01,515866.0,66223.0,,31358.0,76898.0,0.32107192516748206,5.469697186539713,2019,12
2020-01-01,515119.0,67345.0,156916.0,31869.0,53488.0,-0.144805046271701,5.032012070793579,2020,1
2020-02-01,515330.0,67358.0,,31846.0,54481.0,0.04096140891716171,4.794906365213292,2020,2
2020-03-01,468324.0,47370.0,,31761.0,60307.0,-9.12153377447461,-6.202382573724396,2020,3
2020-04-01,401028.0,30732.0,208112.0,31576.0,54299.0,-14.369539037076894,-19.68887117672622,2020,4
2020-05-01,478449.0,40492.0,,35988.0,63570.0,19.30563451928544,-5.209008184395558,2020,5
2020-06-01,518038.0,52238.0,,36303.0,60250.0,8.274445134173124,2.5308213145545544,2020,6
2020-07-01,526304.0,54431.0,212375.0,35761.0,60876.0,1.595635841386156,3.381124396227797,2020,7
2020-08-01,530735.0,57039.0,,36148.0,61230.0,0.8419088587584334,3.5457243137889893,2020,8
2020-09-01,541302.0,58600.0,,36584.0,57365.0,1.991012463847297,6.28728288060445,2020,9
2020-10-01,539114.0,58351.0,217160.0,36025.0,61776.0,-0.40421058854391845,5.574485751437397,2020,10
2020-11-01,533941.0,55862.0,,36236.0,64332.0,-0.9595373149278275,3.836138580165893,2020,11
2020-12-01,538548.0,52599.0,,36208.0,75076.0,0.862829413736721,4.396878259082793,2020,12
2021-01-01,559230.0,57626.0,227949.0,38530.0,58736.0,3.840326210477052,8.563264022488015,2021,1
2021-02-01,544891.0,56086.0,,36716.0,53139.0,-2.564061298571252,5.736324297052375,2021,2
2021-03-01,603581.0,63974.0,,41910.0,64667.0,10.770961531755896,28.88107378652387,2021,3
2021-04-01,608961.0,66762.0,236010.0,41953.0,64490.0,0.8913468117783596,51.849995511535354,2021,4
2021-05-01,605282.0,68693.0,,40226.0,68853.0,-0.6041437793224858,26.50919951760793,2021,5
2021-06-01,611950.0,71798.0,,39712.0,64987.0,1.1016352708324462,18.128399847115475,2021,6
2021-07-01,601817.0,73217.0,232168.0,38865.0,66591.0,-1.6558542364572215,14.347791390527153,2021,7
2021-08-01,605533.0,73056.0,,38760.0,67405.0,0.617463448191069,14.093285726398296,2021,8
2021-09-01,609671.0,73020.0,,38996.0,62592.0,0.6833649033165745,12.63047245345481,2021,9
2021-10-01,618573.0,73212.0,239825.0,39698.0,68777.0,1.4601317759906474,14.73881219927511,2021,10
2021-11-01,624874.0,73792.0,,40804.0,71468.0,1.0186348256390199,17.0305333360802,2021,11
2021-12-01,619938.0,72661.0,,41064.0,84073.0,-0.7899192477203387,15.112859020922919,2021,12
2022-01-01,631509.0,71252.0,243978.0,42350.0,61516.0,1.866476970277664,12.92473579743576,2022,1
2022-02-01,638101.0,74324.0,,41952.0,59714.0,1.0438489396033868,17.10617352828363,2022,2
2022-03-01,651027.0,76542.0,,42837.0,66968.0,2.025698126158715,7.860751083947304,2022,3
