date,cpi_all,cpi_core,cpi_food,cpi_energy,cpi_shelter,cpi_medical,cpi_transportation,cpi_apparel,core_pce,cpi_all_yoy,cpi_core_yoy,cpi_food_yoy,cpi_energy_yoy,cpi_shelter_yoy,cpi_medical_yoy,cpi_transportation_yoy,cpi_apparel_yoy,core_pce_yoy,year,month
2020-02-01,259.25,267.37,261.962,214.294,324.483,512.967,211.402,122.952,104.711,2.3413166797595197,2.3676613601035346,1.8304937163026391,2.9546852179260563,3.314845003693412,4.652970458625738,1.8829369382394656,-1.2639930616899275,1.6976972310441596,2020,2
2020-03-01,258.076,267.054,262.622,201.681,324.54,514.743,204.709,121.558,104.632,1.4940399642909163,2.097741687598198,1.9174871255544845,-6.166078889333459,3.0118933125113267,4.747747307758066,-2.5645297172258497,-1.7045913994145456,1.5272953094374042,2020,3
2020-04-01,256.032,265.746,266.37,182.586,324.391,516.77,192.375,117.065,104.293,0.3130472940411133,1.4309324152566472,3.51501020110756,-17.90936066900457,2.5995344306263712,4.827879992697315,-9.698784718147557,-5.517308173461066,0.9954970222243897,2020,4
2020-05-01,255.802,265.412,268.086,180.04,324.973,519.152,188.733,114.244,104.402,0.1982013035848551,1.2184564692601985,3.982654430644894,-18.357722323748547,2.505441125445551,4.909075110283956,-10.874523637496992,-7.692059080184865,0.9973783749794407,2020,5
2020-06-01,257.042,265.849,269.553,188.734,325.425,520.867,192.554,115.665,104.565,0.7166562831830481,1.1836841884912408,4.497348343877938,-12.186520011538848,2.3513204947963384,5.067524634640774,-7.978972520908001,-7.2825651302605205,0.9704519119350996,2020,6
2020-07-01,258.352,267.389,268.532,191.966,326.249,522.675,197.289,116.576,104.937,0.9968647625897997,1.560695837131587,4.05837424774953,-11.412301103850552,2.3439583156877886,5.015129170567834,-6.0233216153648295,-6.538069926481793,1.2143366963097257,2020,7
2020-08-01,259.316,268.422,268.957,193.307,326.782,522.922,199.971,116.907,105.243,1.2810698495523853,1.7223933878284248,4.130660348138515,-9.604997965835393,2.320819112627981,4.446113345929992,-4.443541835905773,-6.1229242283108,1.3931038469319867,2020,8
2020-09-01,259.997,268.933,269.043,196.705,327.043,522.947,202.572,117.157,105.41,1.3910228912373812,1.7190644053436621,3.9317791126648904,-7.656737788418644,2.0618781909648165,4.232923401965283,-3.115001076117374,-6.120437517528754,1.4796915464076354,2020,9
2020-10-01,260.319,269.306,269.653,196.113,327.421,520.943,203.23,117.158,105.507,1.2303863428671624,1.6364116692455521,3.93895942706044,-8.89821060259769,2.0441809874650163,2.865137145486174,-3.338882282996436,-5.1267724250743,1.4217326104510208,2020,10
2020-11-01,260.911,269.981,269.636,197.017,327.801,520.567,204.355,117.411,105.605,1.1757452138405844,1.6693780408814973,3.6870116286224164,-9.412473331861992,1.9246854118795786,2.410316437642024,-3.280387720909106,-4.968838526912178,1.453521884486797,2020,11
2020-12-01,262.045,270.341,270.781,205.67,328.217,519.866,208.196,117.967,105.896,1.3204191315779434,1.624313961356294,3.953424983588172,-7.012388100189904,1.852616160895204,1.7599217029605985,-2.417578297102474,-3.981800275112113,1.508790092214496,2020,12
2021-01-01,262.687,270.387,271.195,212.47,328.535,521.832,210.632,119.065,106.281,1.3738437137002402,1.3763703714812836,3.78961548912522,-3.4872153606453793,1.5604954758614786,1.949384004032395,-1.1766913765600018,-2.7858291760902043,1.6974939477738316,2021,1
2021-02-01,263.579,270.793,271.425,219.242,329.124,523.675,212.904,118.14,106.501,1.6698167791706853,1.280248344990098,3.6123559905635316,2.3089773862077223,1.4302752378398953,2.0874637159895126,0.7104946973065518,-3.9137224282646876,1.7094670091967412,2021,2
2021-03-01,264.961,271.459,271.636,229.617,329.947,524.024,217.471,118.484,106.933,2.6678187820641908,1.6494791315614155,3.43230955517817,13.851577491186573,1.6660504098108042,1.8030356896548305,6.234215398443643,-2.5288339722601694,2.1991360195733556,2021,3
2021-04-01,266.614,273.66,272.715,227.255,331.208,524.465,220.736,119.692,107.558,4.133077115360573,2.9780316542864504,2.382025002815613,24.46463584283569,2.1014763048296636,1.4890570273042192,14.742560103963598,2.2440524494938607,3.1306032044336574,2021,4
2021-05-01,268.383,275.465,273.932,229.854,332.111,523.97,225.784,120.794,108.099,4.918257089467626,3.7876961101984907,2.1806435248390432,27.668295934236852,2.1964901699525807,0.9280519000215648,19.63143700359766,5.73334267007457,3.5411199019175887,2021,5
