date,ppi_final_demand,ppi_core,ppi_energy,ppi_final_demand_yoy,ppi_core_yoy,ppi_energy_yoy,year,month
2018-01-01,114.8,113.8,,2.5915996425379673,2.246181491464516,,2018,1
2018-02-01,115.1,114.0,,2.8596961572832758,2.517985611510798,,2018,2
2018-03-01,115.3,114.4,,2.8545941123996554,2.6929982046678624,,2018,3
2018-04-01,115.5,114.5,,2.5754884547069423,2.3235031277926588,,2018,4
2018-05-01,115.9,114.8,,3.0222222222222372,2.317290552584672,,2018,5
2018-06-01,116.3,115.3,,3.285968028419184,2.6714158504007157,,2018,6
2018-07-01,116.4,115.5,,3.2830523513753374,2.758007117437722,,2018,7
2018-08-01,116.5,115.5,,3.006189213085775,2.5754884547069423,,2018,8
2018-09-01,116.7,115.6,,2.8193832599118895,2.573203194321194,,2018,9
2018-10-01,117.5,116.4,,3.160667251975413,2.8268551236749095,,2018,10
2018-11-01,117.4,116.6,,2.7121609798775204,2.821869488536155,,2018,11
2018-12-01,117.4,116.7,,2.622377622377625,2.910052910052907,,2018,12
2019-01-01,117.0,116.7,,1.9163763066202044,2.5483304042179356,,2019,1
2019-02-01,117.2,116.9,,1.8245004344048743,2.543859649122804,,2019,2
2019-03-01,117.6,117.0,,1.994796183868175,2.2727272727272707,,2019,3
2019-04-01,118.2,117.5,,2.3376623376623495,2.6200873362445476,,2019,4
2019-05-01,118.3,117.7,,2.070750647109576,2.5261324041811806,,2019,5
2019-06-01,118.2,117.7,,1.6337059329320835,2.0815264527320076,,2019,6
2019-07-01,118.5,118.0,,1.8041237113401998,2.164502164502169,,2019,7
2019-08-01,118.6,118.2,,1.8025751072961338,2.3376623376623495,,2019,8
2019-09-01,118.3,117.9,,1.371036846615259,1.9896193771626436,,2019,9
2019-10-01,118.8,118.2,,1.106382978723408,1.546391752577314,,2019,10
2019-11-01,118.6,118.0,,1.0221465076660996,1.2006861063464935,,2019,11
2019-12-01,119.0,118.2,,1.3628620102214661,1.285347043701801,,2019,12
2020-01-01,119.2,118.6,,1.8803418803418737,1.6281062553556103,,2020,1
2020-02-01,118.6,118.2,,1.1945392491467421,1.112061591103508,,2020,2
2020-03-01,118.0,118.3,,0.3401360544217802,1.1111111111111072,,2020,3
2020-04-01,116.6,117.9,,-1.3536379018612599,0.34042553191488967,,2020,4
2020-05-01,117.2,117.9,,-0.9298393913778513,0.1699235344095218,,2020,5
2020-06-01,117.5,118.1,,-0.5922165820642977,0.3398470688190214,,2020,6
2020-07-01,118.2,118.7,,-0.25316455696202667,0.5932203389830581,,2020,7
2020-08-01,118.4,118.8,,-0.1686340640809303,0.50761421319796,,2020,8
2020-09-01,118.8,119.1,,0.4226542688081203,1.0178117048345925,,2020,9
2020-10-01,119.4,119.7,,0.5050505050505194,1.2690355329949332,,2020,10
2020-11-01,119.5,119.7,,0.7588532883642474,1.4406779661017,,2020,11
2020-12-01,120.0,119.9,,0.8403361344537785,1.4382402707275865,,2020,12
2021-01-01,121.2,120.9,,1.6778523489932917,1.9392917369308593,,2021,1
2021-02-01,122.0,121.3,,2.866779089376048,2.622673434856182,,2021,2
2021-03-01,122.8,121.9,,4.067796610169494,3.0431107354184306,,2021,3
2021-04-01,124.0,123.2,,6.346483704974282,4.495335029686176,,2021,4
2021-05-01,125.3,124.2,,6.91126279863481,5.343511450381677,,2021,5
2021-06-01,126.2,124.9,,7.404255319148945,5.75783234546996,,2021,6
2021-07-01,127.486,126.26,,7.8561759729272485,6.368997472620053,,2021,7
2021-08-01,128.603,127.256,,8.617398648648656,7.117845117845123,,2021,8
2021-09-01,129.226,127.482,,8.77609427609427,7.0377833753148655,,2021,9
2021-10-01,130.045,128.052,,8.915410385259626,6.977443609022549,,2021,10
2021-11-01,131.475,129.39,,10.020920502092046,8.095238095238088,,2021,11
2021-12-01,132.26,130.267,,10.21666666666665,8.646371976647194,,2021,12
2022-01-01,133.529,131.327,,10.172442244224422,8.624483043837872,,2022,1
2022-02-01,134.771,132.104,,10.468032786885239,8.906842539159122,,2022,2
2022-03-01,137.037,133.695,,11.593648208469066,9.675963904840025,,2022,3
2022-04-01,137.773,134.28,,11.107258064516135,8.993506493506498,,2022,4
2022-05-01,139.013,134.904,,10.944134078212286,8.618357487922701,,2022,5
2022-06-01,140.273,135.297,,11.1513470681458,8.324259407526014,,2022,6
2022-07-01,139.837,135.872,,9.688122617385432,7.612862347536842,,2022,7
2022-08-01,139.755,136.441,,8.671648406335763,7.217734330797754,,2022,8
2022-09-01,140.2,136.643,,8.492099113181538,7.186112549222634,,2022,9
2022-10-01,140.681,136.926,,8.178707370525618,6.929997188642112,,2022,10
2022-11-01,141.16,137.503,,7.3664194713823905,6.2701908957415675,,2022,11
2022-12-01,140.694,137.696,,6.37683350975351,5.702902500249496,,2022,12
2023-01-01,141.203,137.924,,5.7470661803803,5.0233386889215526,,2023,1
2023-02-01,141.135,138.279,,4.722084127891013,4.674347483800623,,2023,2
2023-03-01,140.736,138.213,,2.6992709998029607,3.379333557724662,,2023,3
2023-04-01,140.934,138.508,,2.2943537558157256,3.148644623175456,,2023,4
2023-05-01,140.614,138.671,,1.1516908490572852,2.7923560457806973,,2023,5
2023-06-01,140.698,138.702,,0.3029806163695081,2.5166855140912325,,2023,6
2023-07-01,141.485,139.562,,1.1785149853043464,2.715791333019313,,2023,7
2023-08-01,142.409,139.839,,1.8990376015169286,2.490453749239596,,2023,8
2023-09-01,142.744,139.819,,1.8145506419400936,2.3243049406116656,,2023,9
2023-10-01,142.249,139.884,,1.1145783723459424,2.1602909600806353,,2023,10
2023-11-01,142.334,140.182,,0.8316803627089975,1.9483211275390433,,2023,11
2023-12-01,142.165,140.138,,1.0455314370193536,1.7734719962816614,,2023,12
2024-01-01,142.576,140.679,,0.9723589442150571,1.997476871320436,,2024,1
2024-02-01,143.356,141.179,,1.573670599071808,2.0972092653259056,,2024,2
2024-03-01,143.521,141.347,,1.97888244656661,2.267514633211065,,2024,3
2024-04-01,144.197,142.038,,2.3152681396966024,2.548589251162392,,2024,4
2024-05-01,144.224,142.411,,2.5673119319555626,2.6970311023934324,,2024,5
2024-06-01,144.869,143.263,,2.9645055366813944,3.2883447967585244,,2024,6
2024-07-01,144.922,143.186,,2.4292327808601577,2.596695375532021,,2024,7
2024-08-01,145.409,143.81,,2.106608430646939,2.839694219781319,,2024,8
2024-09-01,145.803,144.442,,2.1429972538250297,3.3064175827319797,,2024,9
2024-10-01,146.294,144.913,,2.843605227453283,3.5951216722427404,,2024,10
2024-11-01,146.447,144.908,,2.8896820155409175,3.37133155469318,,2024,11
2024-12-01,147.052,145.369,,3.437554953750932,3.73274914726911,,2024,12
2025-01-01,147.975,146.179,,3.7867523285826543,3.9096098209398633,,2025,1
2025-02-01,148.233,146.429,,3.4020201456513854,3.7186833735895597,,2025,2
2025-03-01,148.055,146.691,,3.1591195713519316,3.780766482486353,,2025,3
2025-04-01,147.655,146.385,,2.398108143720057,3.0604486123431585,,2025,4
2025-05-01,148.153,146.947,,2.7242345240736654,3.1851472147516713,,2025,5
2025-06-01,148.393,147.115,,2.4325425039173343,2.688761229347425,,2025,6
2025-07-01,149.597,148.281,,3.2258732283573233,3.5583087732040886,,2025,7
2025-08-01,149.327,148.001,,2.6944687055134198,2.9142618733050574,,2025,8
2025-09-01,150.245,148.767,,3.046576545064239,2.99428144168592,,2025,9
2025-10-01,150.439,149.219,,2.8333356118501074,2.971438035234919,,2025,10
2025-11-01,151.054,149.594,,3.1458479859607813,3.2337759129930754,,2025,11
2025-12-01,151.626,150.388,,3.110464325544715,3.452593056291242,,2025,12
2026-01-01,152.464,151.611,,3.0336205440108177,3.7159920371599098,,2026,1
2026-02-01,153.221,152.049,,3.364972711879277,3.8380375472071737,,2026,2
2026-03-01,154.006,152.189,,4.0194522305899705,3.748014533952304,,2026,3
